dataset,query_id,draw_id,method,ndcg_at_10,recall_at_20
scifact,1132,2,query_expansion_reencode,0.3065735963827292,0.5
scifact,1132,2,anchorqe_fixed_015,0.19342640361727081,0.5
scifact,1132,2,desa_de,0.2640681225725909,0.5
scifact,1137,0,original,1.0,1.0
scifact,1137,0,expansion_only,1.0,1.0
scifact,1137,0,query_expansion_reencode,1.0,1.0
scifact,1137,0,anchorqe_fixed_015,1.0,1.0
scifact,1137,0,desa_de,1.0,1.0
scifact,1137,1,original,1.0,1.0
scifact,1137,1,expansion_only,1.0,1.0
scifact,1137,1,query_expansion_reencode,1.0,1.0
scifact,1137,1,anchorqe_fixed_015,1.0,1.0
scifact,1137,1,desa_de,1.0,1.0
scifact,1137,2,original,1.0,1.0
scifact,1137,2,expansion_only,1.0,1.0
scifact,1137,2,query_expansion_reencode,1.0,1.0
scifact,1137,2,anchorqe_fixed_015,1.0,1.0
scifact,1137,2,desa_de,1.0,1.0
scifact,1140,0,original,1.0,1.0
scifact,1140,0,expansion_only,1.0,1.0
scifact,1140,0,query_expansion_reencode,1.0,1.0
scifact,1140,0,anchorqe_fixed_015,1.0,1.0
scifact,1140,0,desa_de,1.0,1.0
scifact,1140,1,original,1.0,1.0
scifact,1140,1,expansion_only,1.0,1.0
scifact,1140,1,query_expansion_reencode,1.0,1.0
scifact,1140,1,anchorqe_fixed_015,1.0,1.0
scifact,1140,1,desa_de,1.0,1.0
scifact,1140,2,original,1.0,1.0
scifact,1140,2,expansion_only,1.0,1.0
scifact,1140,2,query_expansion_reencode,1.0,1.0
scifact,1140,2,anchorqe_fixed_015,1.0,1.0
scifact,1140,2,desa_de,1.0,1.0
scifact,1144,0,original,1.0,1.0
scifact,1144,0,expansion_only,1.0,1.0
scifact,1144,0,query_expansion_reencode,1.0,1.0
scifact,1144,0,anchorqe_fixed_015,1.0,1.0
scifact,1144,0,desa_de,1.0,1.0
scifact,1144,1,original,1.0,1.0
scifact,1144,1,expansion_only,1.0,1.0
scifact,1144,1,query_expansion_reencode,1.0,1.0
scifact,1144,1,anchorqe_fixed_015,1.0,1.0
scifact,1144,1,desa_de,1.0,1.0
scifact,1144,2,original,1.0,1.0
scifact,1144,2,expansion_only,1.0,1.0
scifact,1144,2,query_expansion_reencode,1.0,1.0
scifact,1144,2,anchorqe_fixed_015,1.0,1.0
scifact,1144,2,desa_de,1.0,1.0
scifact,1146,0,original,1.0,1.0
scifact,1146,0,expansion_only,1.0,1.0
scifact,1146,0,query_expansion_reencode,1.0,1.0
scifact,1146,0,anchorqe_fixed_015,1.0,1.0
scifact,1146,0,desa_de,1.0,1.0
scifact,1146,1,original,1.0,1.0
scifact,1146,1,expansion_only,1.0,1.0
scifact,1146,1,query_expansion_reencode,1.0,1.0
scifact,1146,1,anchorqe_fixed_015,1.0,1.0
scifact,1146,1,desa_de,1.0,1.0
scifact,1146,2,original,1.0,1.0
scifact,1146,2,expansion_only,1.0,1.0
scifact,1146,2,query_expansion_reencode,1.0,1.0
scifact,1146,2,anchorqe_fixed_015,1.0,1.0
scifact,1146,2,desa_de,1.0,1.0
scifact,115,0,original,1.0,1.0
scifact,115,0,expansion_only,1.0,1.0
scifact,115,0,query_expansion_reencode,1.0,1.0
scifact,115,0,anchorqe_fixed_015,1.0,1.0
scifact,115,0,desa_de,1.0,1.0
scifact,115,1,original,1.0,1.0
scifact,115,1,expansion_only,1.0,1.0
scifact,115,1,query_expansion_reencode,1.0,1.0
scifact,115,1,anchorqe_fixed_015,1.0,1.0
scifact,115,1,desa_de,1.0,1.0
scifact,115,2,original,1.0,1.0
scifact,115,2,expansion_only,1.0,1.0
scifact,115,2,query_expansion_reencode,1.0,1.0
scifact,115,2,anchorqe_fixed_015,1.0,1.0
scifact,115,2,desa_de,1.0,1.0
scifact,1150,0,original,1.0,1.0
scifact,1150,0,expansion_only,1.0,1.0
scifact,1150,0,query_expansion_reencode,1.0,1.0
scifact,1150,0,anchorqe_fixed_015,1.0,1.0
scifact,1150,0,desa_de,1.0,1.0
scifact,1150,1,original,1.0,1.0
scifact,1150,1,expansion_only,1.0,1.0
scifact,1150,1,query_expansion_reencode,1.0,1.0
scifact,1150,1,anchorqe_fixed_015,1.0,1.0
scifact,1150,1,desa_de,1.0,1.0
scifact,1150,2,original,1.0,1.0
scifact,1150,2,expansion_only,1.0,1.0
scifact,1150,2,query_expansion_reencode,1.0,1.0
scifact,1150,2,anchorqe_fixed_015,1.0,1.0
scifact,1150,2,desa_de,1.0,1.0
scifact,1163,0,original,1.0,1.0
scifact,1163,0,expansion_only,1.0,1.0
scifact,1163,0,query_expansion_reencode,1.0,1.0
scifact,1163,0,anchorqe_fixed_015,1.0,1.0
scifact,1163,0,desa_de,1.0,1.0
scifact,1163,1,original,1.0,1.0
scifact,1163,1,expansion_only,1.0,1.0
scifact,1163,1,query_expansion_reencode,1.0,1.0
scifact,1163,1,anchorqe_fixed_015,1.0,1.0
scifact,1163,1,desa_de,1.0,1.0
scifact,1163,2,original,1.0,1.0
scifact,1163,2,expansion_only,1.0,1.0
scifact,1163,2,query_expansion_reencode,1.0,1.0
scifact,1163,2,anchorqe_fixed_015,1.0,1.0
scifact,1163,2,desa_de,1.0,1.0
scifact,1175,0,original,0.0,0.0
scifact,1175,0,expansion_only,0.0,0.0
scifact,1175,0,query_expansion_reencode,0.0,0.0
scifact,1175,0,anchorqe_fixed_015,0.0,0.0
scifact,1175,0,desa_de,0.0,0.0
scifact,1175,1,original,0.0,0.0
scifact,1175,1,expansion_only,0.0,0.0
scifact,1175,1,query_expansion_reencode,0.0,0.0
scifact,1175,1,anchorqe_fixed_015,0.0,0.0
scifact,1175,1,desa_de,0.0,0.0
scifact,1175,2,original,0.0,0.0
scifact,1175,2,expansion_only,0.0,0.0
scifact,1175,2,query_expansion_reencode,0.0,0.0
scifact,1175,2,anchorqe_fixed_015,0.0,0.0
scifact,1175,2,desa_de,0.0,0.0
scifact,1179,0,original,0.0,0.0
scifact,1179,0,expansion_only,0.0,0.0
scifact,1179,0,query_expansion_reencode,0.0,0.0
scifact,1179,0,anchorqe_fixed_015,0.0,0.0
scifact,1179,0,desa_de,0.0,0.0
scifact,1179,1,original,0.0,0.0
scifact,1179,1,expansion_only,0.0,0.0
scifact,1179,1,query_expansion_reencode,0.0,0.0
scifact,1179,1,anchorqe_fixed_015,0.0,0.0
scifact,1179,1,desa_de,0.0,0.0
scifact,1179,2,original,0.0,0.0
scifact,1179,2,expansion_only,0.0,0.0
scifact,1179,2,query_expansion_reencode,0.0,0.0
scifact,1179,2,anchorqe_fixed_015,0.0,0.0
scifact,1179,2,desa_de,0.0,0.0
scifact,118,0,original,1.0,1.0
scifact,118,0,expansion_only,1.0,1.0
scifact,118,0,query_expansion_reencode,1.0,1.0
scifact,118,0,anchorqe_fixed_015,1.0,1.0
scifact,118,0,desa_de,1.0,1.0
scifact,118,1,original,1.0,1.0
scifact,118,1,expansion_only,1.0,1.0
scifact,118,1,query_expansion_reencode,1.0,1.0
scifact,118,1,anchorqe_fixed_015,1.0,1.0
scifact,118,1,desa_de,1.0,1.0
scifact,118,2,original,1.0,1.0
scifact,118,2,expansion_only,1.0,1.0
